"benchmark","size","PAPI_TOT_INS_0","PAPI_TOT_CYC_0","PAPI_L1_DCM","PAPI_L1_DCA","PAPI_TOT_INS_1","PAPI_TOT_CYC_1","PAPI_L2_DCM","PAPI_L2_DCA","PAPI_TOT_INS_2","PAPI_TOT_CYC_2","PAPI_FP_OPS","PAPI_TLB_DM","IPC","L1 miss ratio","L2 miss ratio","TLB miss ratio","LS per INS"
"flux_prefetch",4096,4027310727,2970187778,42190346,2014020236,4027311037,2977622966,7954799,49716695,4027310726,2970019864,1006881460,657774,1.35591115040943,0.0209483227853724,0.160002570565079,0.000326597512896092,0.500090599540173
"mat_mult_2D_fast",128,14795799,9017671,281164,8517068,14795798,9018051,57,298717,14795798,9014229,4251560,2,1.64075613315234,0.0330118298926344,0.000190816056669021,0.000000234822593878551,0.575640964033102
"mat_mult_2D_fast",256,117901213,70950883,2188548,67627376,117901212,70856670,21627,2317342,117901212,70842020,33777542,10,1.66173003090039,0.0323618648164022,0.00933267510794695,0.000000147869111467522,0.573593555818633
"mat_mult_2D_fast",384,397396803,443986598,7284308,227516112,397396800,443712507,4539119,11792556,397396802,443737690,113666044,121920,0.895064861845222,0.0320166687799236,0.384913923665065,0.000535874136245788,0.572516211208674
"mat_mult_2D_fast",512,941362985,1135560163,17147300,538753175,941362983,1135748696,14089640,31023625,941362982,1135451769,269263241,418272,0.828985566482927,0.031827747465247,0.454158403474771,0.000776370366634034,0.572311832507415
"mat_mult_2D_fast",768,3175028588,3756445522,57476387,1815943747,3175028601,3764294630,46830502,103931628,3175028587,3756818980,907625859,1457251,0.845221518428825,0.0316509732721363,0.450589516407845,0.000802475848939389,0.571945636604139
"mat_mult_2D_fast",1024,7523541536,8818748306,135799331,4301845676,7523541292,8811270922,110448334,246141549,7523541269,8810899053,2150439577,3172353,0.853130316791241,0.0315676900632732,0.448718773602908,0.000737439982493691,0.571784664896944
"mat_mult_2D_slow",128,16892952,23464222,1653698,8452787,16892952,23990069,4268,1672634,16892952,23536709,4215772,0,0.719945114736811,0.195639379059238,0.00255166402213515,0,0.50037358775423
"mat_mult_2D_slow",256,134678433,113371715,2793743,67355576,134678432,113355372,8145,2899363,134678432,113348751,33648905,46,1.18793680593083,0.0414775311252627,0.00280923775325822,0.00000068294271583395,0.500121470822281
"mat_mult_2D_slow",384,454020229,898823838,10762506,227057159,454019965,892044074,4943181,10965505,454019971,892436680,113460038,824261,0.505127044705728,0.0473999853050218,0.45079373909364,0.00363019163822093,0.500103617629777
