"benchmark","IPC","L1 miss ratio","L2 miss ratio","TLB miss ratio"
"_0.025",0.802760041606672,0.00138521668054065,0.603569553805774,0.000784352367150933
"_0.010",0.818606822434618,0.000610121189972573,0.613604430118192,0.000324403740166927
"_0.005",0.825762220352632,0.000311662186348389,0.666565579984837,0.000161664605902402
"_0.003",0.825343345073327,0.000164092084709789,0.701588271227856,0.0000835996644373587
"_0.001",0.819022918662252,0.0000746071746614166,0.751381215469613,0.000034870199320568
"_1.000",0.536931401730781,0.0245015450099276,0.871914803246676,0.015174917267362
"_0.500",0.704971220487032,0.00895198913679678,0.842887354732443,0.00534129431361179
"_0.250",0.71537089533609,0.00848245230193735,0.737873940295225,0.0044127726640825
"_0.100",0.750882525831962,0.00585623986712347,0.588772472231765,0.00255431996386657
"_0.050",0.782745793084685,0.0036575383767524,0.522028308672989,0.00144215994604318
"_0.025",0.809458078164627,0.00209831533484014,0.481501622006788,0.000765312371675348
"_0.010",0.833311294070398,0.000888457957086977,0.457170640960595,0.000317921937891793
"_0.005",0.841970681112606,0.000469379840963806,0.487047859737798,0.000168548713265423
"_0.003",0.842941901246708,0.000237351867350776,0.504657886283328,0.0000860230704850624
"_0.001",0.83824252741731,0.000108917974899142,0.538804307463795,0.0000339382095700226
"_1.000",0.352036157894542,0.0396920966846224,0.722288217070826,0.0127911507410596
"_0.500",0.552756384274245,0.0162330559829657,0.704775717829066,0.00507283842744482
"_0.250",0.595684855943301,0.0153228571263944,0.642691813871338,0.00420060522206601
"_0.100",0.692804181691837,0.0106551895854525,0.557851266167766,0.00240587963215367
"_0.050",0.765087132644751,0.00668006510996968,0.519012944983819,0.00137890983056528
"_0.025",0.816052101487673,0.00378784336690121,0.495955201692705,0.000726994517567784
"_0.010",0.854456091602313,0.0016470054626909,0.479303435928042,0.000304788432357034
"_0.005",0.86772355426411,0.000856414470249384,0.476629610914603,0.000153328295317529
"_0.003",0.872303293496393,0.000423593990482793,0.484545093365117,0.0000803157036815305
"_0.001",0.870747868332193,0.000195267341838515,0.512851649463671,0.0000341016027108979
"_1.000",0.513148142790409,0.0721080589390464,0.539310972819189,0.00872755903481312
"_0.500",0.616659372415076,0.0377064294283349,0.53174613004922,0.004455199638497
"_0.250",0.66792795689063,0.0354957771974961,0.494767687110974,0.00367587860438771
"_0.100",0.79344242236964,0.0242586209351699,0.440071418858599,0.00210959968586813
"_0.050",0.888874421414405,0.0151362352575567,0.4135080002653,0.00122685941834133
"_0.025",0.959130392020111,0.00863023785441083,0.394674149282835,0.000649149880082954
"_0.010",1.0076229911794,0.00402018209841814,0.38185037741702,0.000271449434318768
"_0.005",1.03139157406858,0.00200248566138532,0.37306252652972,0.00013942022618407
"_0.003",1.04215763385886,0.00101205799909461,0.376147486940204,0.0000693793444630608
"_0.001",1.05278519696085,0.000456285225803515,0.4051385822909,0.0000264219437006235
"_1.000",0.701779137398732,0.103872252813852,0.460730459508655,0.00463773761460582
"_0.500",0.727783458240921,0.0759711170721138,0.456478534492119,0.00332152534162631
"_0.250",0.788859989612886,0.0715737740378292,0.426088379267158,0.00274968016683615
"_0.100",0.961149899996777,0.0481631016459391,0.388612193912698,0.00156535351960057
"_0.050",1.09867413729588,0.0297714805570891,0.369311321156964,0.000902777101642388
"_0.025",1.20612741844068,0.0166161587990378,0.357624179867476,0.000487288893418635
"_0.010",1.28911401053491,0.00753480009175029,0.342643836333585,0.000201448709936008
"_0.005",1.32313259219029,0.00390811919559106,0.334871679020049,0.000101305108834947
"_0.003",1.34327321071184,0.00203581513274792,0.327501840980572,0.0000546891040491357
"_0.001",1.36521686164266,0.000819413448518898,0.319753543651729,0.000020957495042076
"_1.000",0.766320254514229,0.113242034873657,0.447846537924715,0.00344049789498549
"_0.500",0.778719672920912,0.093997888945138,0.443719608163144,0.00279320575559087
"_0.250",0.8460563555879,0.0888001105371658,0.413986759130717,0.00230913174021681
"_0.100",1.03704892080619,0.0590318699690454,0.378840813773913,0.00132552568913802
"_0.050",1.19501446618857,0.0359851297875719,0.364870953973242,0.000758568447945606
"_0.025",1.32211039849324,0.0200886461657795,0.355762157667096,0.000403114244689424
"_0.010",1.41922565327862,0.00892839193995603,0.342862190119143,0.000171668040010987
"_0.005",1.45992929825701,0.00467420883170807,0.334902197766015,0.0000868533693568389
"_0.003",1.48366443592386,0.00245916459757442,0.327159726979417,0.0000436179039795975
"_0.001",1.50628171873444,0.00100110217623109,0.324079364254921,0.0000189674921924029
"_1.000",0.80669247485111,0.118742154929495,0.440233968409589,0.00272771836792508
"_0.500",0.812737036700579,0.107093301883548,0.434224633067503,0.00240387998581926
"_0.250",0.881169257157527,0.101771411030197,0.405802706468917,0.00199019620739658
"_0.100",1.08605712549905,0.0678011559192586,0.372915443017154,0.0011389700452381
"_0.050",1.25925274507771,0.0408554919936189,0.361937867944987,0.000649739019688375
"_0.025",1.39970713871549,0.0225266776525037,0.35513432877329,0.000353409939389223
"_0.010",1.51656977453718,0.00948727327166406,0.347593312871645,0.000145830592790635
"_0.005",1.5608162015151,0.00485081344614783,0.342260437685525,0.0000758913949617504
"_0.003",1.58364707906678,0.00268459414371656,0.336001296794248,0.000036875563922013
"_0.001",1.60604524488371,0.00110953479800501,0.317537178008812,0.0000155009625011093
"_1.000",0.838157877877693,0.123310778801738,0.439306281659734,0.00214220932800033
"_0.500",0.842594904161985,0.11979093306145,0.436132828464974,0.00203700658115246
"_0.250",0.914489480128859,0.116257777629528,0.401164013044245,0.0016986618422244
"_0.100",1.13133076264099,0.0841849464226721,0.348928012626147,0.000963740342671203
"_0.050",1.32303400116848,0.0499473351835348,0.340699113386388,0.000551614758237523
"_0.025",1.47235196091085,0.0264243070425146,0.34867620587902,0.000293627214183595
"_0.010",1.60394023552601,0.0103738032352391,0.359372404048554,0.000122334191170054
"_0.005",1.65471965061469,0.00517766197941628,0.354052257514962,0.0000604088104593483
"_0.003",1.6793262277365,0.00273806857264042,0.35738788054893,0.0000297623370263959
"_0.001",1.69918558034274,0.00109056047128022,0.365568996171424,0.0000122574100655957
"_1.000",0.847054299298645,0.1246510570936,0.438834549451205,0.00199018826967392
"_0.500",0.850521204202706,0.123798087702662,0.435683405856567,0.00193656918788266
"_0.250",0.916910669852588,0.123797875016317,0.39825855268701,0.00160979559090854
"_0.100",1.13924716626514,0.123796845612867,0.267653416860836,0.000930853699952252
"_0.050",1.32677432598064,0.123796837098314,0.167427604269202,0.000528988601060899
"_0.025",1.47476458791861,0.123797134342838,0.0984668928461521,0.000285634038070208
"_0.010",1.58876069413958,0.12379772619235,0.0463063067831113,0.000114029151695392
"_0.005",1.63014969587992,0.123799694859548,0.0201396220581643,0.000063337993724677
"_0.003",1.65786601027937,0.123803523803668,0.0108121617260217,0.00003464085913515
"_0.001",1.66680392918255,0.12382799451156,0.0043848111415992,0.0000142192902545041
"_1.000",0.843631447679247,0.124918712165654,0.43981370151489,0.0019527267620635
"_0.500",0.850862544141013,0.124723424347095,0.437557963196015,0.00189533560756431
"_0.250",0.894076903116969,0.124723036047265,0.409085314116615,0.00164612294556665
"_0.100",1.05875417201804,0.124722912244784,0.3127317598781,0.000963699299537094
"_0.050",1.25595732258462,0.124722543485877,0.219864256934941,0.000615064321878423
"_0.025",1.41056420207214,0.12472240450645,0.127234694579215,0.000302971342706227
"_0.010",1.55793970029353,0.124722786572833,0.0551917737794603,0.000115776838552968
"_0.005",1.622924971548,0.124723490881285,0.0262050721809219,0.0000608278564055917
"_0.003",1.64804101414989,0.124725106779292,0.0176104885087917,0.0000262037724302909
"_0.001",1.67568321276415,0.124731276913214,0.00759971547849677,0.0000144470013398535
"_1.000",0.516673022125731,0.0171195295683562,0.919689245753188,0.0158846408730282
"_0.500",0.706282806876023,0.00611427739105531,0.893307190167619,0.00548017939373421
"_0.250",0.723784479006072,0.00587485565716141,0.820353857277011,0.00471735676431072
"_0.100",0.751932563521496,0.00421334502058017,0.705455604075691,0.00281751051207408
"_0.050",0.772501918316524,0.00264617343002053,0.656804733727811,0.00163337475593767
"_0.025",0.792228389969434,0.00148462063955449,0.63233454066513,0.000885505327750188
"_0.010",0.810158942063244,0.000650555507260517,0.63351226993865,0.000373813447498211
"_0.005",0.818733453599505,0.000333112357971225,0.661419618131468,0.00018767725518568
"_0.003",0.81912822677759,0.000175374949669116,0.703311995546897,0.0000960985659508968
"_0.001",0.815218026941862,0.0000917239966734496,0.820276497695853,0.0000391884252745975
"_1.000",0.477263812317034,0.0245836780372722,0.830597878306567,0.0152957852041089
"_0.500",0.676176476395803,0.00899506676708674,0.820906386325555,0.00544035105721814
"_0.250",0.692682234176796,0.00861333777428784,0.749945418450087,0.00466576169308809
"_0.100",0.732876381240264,0.00611998369334187,0.61708013625572,0.00280466773247397
"_0.050",0.767331331896236,0.00388361435455755,0.549285287300871,0.00161668786357442
"_0.025",0.79775449982186,0.00222326420331104,0.508508597413671,0.000863992125876738
"_0.010",0.82416289330021,0.000954330099731127,0.48435129740519,0.000365608654645852
"_0.005",0.834226342682901,0.000490790784290453,0.479291739493883,0.000191764332095727
"_0.003",0.836605646295631,0.000256602852882179,0.505454009433962,0.0000960319678240986
"_0.001",0.834604593352507,0.00011516032374557,0.543963712491277,0.0000386334762179869
"_1.000",0.331400245355778,0.0397057820460281,0.72293841107794,0.0129167315943257
"_0.500",0.53189139461071,0.0162531824369914,0.710975712599089,0.00516867843747612
"_0.250",0.572289534160165,0.0155346758689729,0.661523830810123,0.00443771361130204
"_0.100",0.669313596507721,0.0111071656362214,0.581354963373491,0.00265131403477564
"_0.050",0.74540757169512,0.00705052815308666,0.543120210171135,0.00155108910751636
"_0.025",0.801753312843042,0.00404967836763488,0.514456069299134,0.000821112122643504
"_0.010",0.844811234020841,0.00174985261211468,0.504649696587595,0.000348650765829441
"_0.005",0.860208725082781,0.000907209854573826,0.501434034416826,0.000173413245074008
"_0.003",0.866780681108039,0.000456043165441551,0.510486863027183,0.0000895232758705051
"_0.001",0.867326644954946,0.000209061514026062,0.525779145825317,0.0000411494921927124
"_1.000",0.497616612296506,0.0721175302248722,0.538848900997213,0.00879617504922811
"_0.500",0.601008363110361,0.0377444544880884,0.534676033137474,0.00453031124958381
"_0.250",0.64588514917981,0.0359968155036238,0.505179544285908,0.00388693539771955
"_0.100",0.767482900622455,0.0253433199442601,0.453634638632,0.00232361894837683
"_0.050",0.867288251071673,0.0160317416217539,0.427963941504031,0.00136720406243315
"_0.025",0.942884012274058,0.00922468921992399,0.409063212781675,0.000737217230367426
"_0.010",1.0010043213735,0.00414151301977919,0.391521544311769,0.000309023687796953
"_0.005",1.02336434970285,0.00216367839422643,0.383304513743963,0.000158575778078484
"_0.003",1.03620872897213,0.00109129209813995,0.392448187754329,0.0000793918366999426
"_0.001",1.04983062568465,0.000471574287767649,0.408058771148709,0.0000329519628938782
"_1.000",0.696998761157931,0.10389171566044,0.461748644087849,0.0046916582777922
"_0.500",0.719247468821308,0.0760435578539205,0.459573791040693,0.00337725467948209
"_0.250",0.769559958064393,0.0725992459926077,0.43440729934604,0.00291090912095278
"_0.100",0.931892204288521,0.0503314729741413,0.398950320047561,0.00173086211413338
"_0.050",1.07249682162701,0.031583791228587,0.380474721001015,0.00101141550464865
"_0.025",1.18690180901911,0.017748395885484,0.368174802274456,0.0005458639050233
"_0.010",1.27729431125774,0.00807795574201361,0.35559475022047,0.000231476951913124
"_0.005",1.31524835949855,0.00419621165921895,0.342953953141381,0.000116302623046273
"_0.003",1.33766580066333,0.00220392501413862,0.340653589826041,0.0000589469869079658
"_0.001",1.36225645064236,0.000898158950510351,0.326047246995257,0.0000247927798339425
"_1.000",0.763168499368955,0.113261836770233,0.449015665032942,0.0034666792009111
"_0.500",0.771832385168138,0.0940816392192407,0.446712526551342,0.00284297465131525
"_0.250",0.824085763332945,0.0901655082222597,0.421930341602581,0.00244020018466359
"_0.100",1.007153687996,0.0618495268249528,0.38882897220832,0.00145573993601498
"_0.050",1.16695069119388,0.0381532812794567,0.374209582077482,0.000849936710644331
"_0.025",1.30126472351454,0.0214876220144578,0.365289351466814,0.000455377673193524
"_0.010",1.40701499130476,0.00958316527308071,0.355655023665773,0.000195197763219536
"_0.005",1.45247314012702,0.00502229881131603,0.34603595601206,0.0000994212475566369
"_0.003",1.47913420883735,0.00264131716501566,0.337544795235818,0.0000494425918653363
"_0.001",1.50379560368818,0.00107978783857651,0.33035395356389,0.0000211970714280744
"_1.000",0.804967890488651,0.118777634443309,0.441229984267623,0.00274911167736861
"_0.500",0.807375331478604,0.107163836964525,0.439051214450507,0.00244828292860224
"_0.250",0.862884633186483,0.103169857296305,0.413121254237411,0.00210347219151267
"_0.100",1.05570391324867,0.0712141600164538,0.381218622915136,0.00125315891297581
"_0.050",1.2301045595556,0.0434624167506538,0.371019983742003,0.000728114685597693
"_0.025",1.37780132757672,0.0240924755502828,0.364858323498234,0.000396417661438268
"_0.010",1.50428663723006,0.0102164448098815,0.354554387353358,0.000165077628646744
"_0.005",1.5539145447149,0.00524240676691303,0.353139199586448,0.0000844210793707853
"_0.003",1.57915415702545,0.00286987835620023,0.343976765280491,0.000041293001564024
"_0.001",1.60386924490392,0.00119984924046126,0.327677381568784,0.000017955308195621
"_1.000",0.836839028701235,0.123337854776918,0.440105384544726,0.00215924595322662
"_0.500",0.838450847310413,0.119894721749794,0.438339113225696,0.00207429619294628
"_0.250",0.896286427798655,0.117324834486743,0.409466384412512,0.00178923042428749
"_0.100",1.10062452090231,0.0882487256236614,0.356749648634056,0.00106314743413066
"_0.050",1.28620537031389,0.053738448040939,0.346899372517743,0.000614821425801856
"_0.025",1.44954459709234,0.0287707057050416,0.354277517058013,0.000331116746485609
"_0.010",1.59142911019465,0.0113442481852063,0.365273880428715,0.000138410208832765
"_0.005",1.648020300013,0.00565907821337717,0.361370947052671,0.0000674505439002442
"_0.003",1.67601011230124,0.00290951618419,0.367990742235858,0.0000352100918500919
"_0.001",1.69773770805799,0.0011382249026636,0.372640665977907,0.0000138779538830108
"_1.000",0.841234085155557,0.124652054516485,0.439840565908246,0.0020047645897903
"_0.500",0.847268485093736,0.123799237606279,0.438089001772999,0.00195889151312351
"_0.250",0.899358944856997,0.123799199355772,0.410267375583229,0.00170072741587977
"_0.100",1.10913969551169,0.123798159821263,0.285205395995818,0.00102748703152811
"_0.050",1.29882153097595,0.123798056672565,0.182195227458315,0.00059321892277648
"_0.025",1.45633250917857,0.12379849705205,0.108540120686845,0.000321037854454682
"_0.010",1.57753410446673,0.123798764327924,0.0522349145707982,0.000126701960069119
"_0.005",1.62579459294188,0.12380071943351,0.0224992222413308,0.0000697344503043695
"_0.003",1.65405876480618,0.123804405994542,0.0126566185941657,0.0000400856445444098
"_0.001",1.66568934840263,0.12382812786429,0.00477667393765054,0.0000169978699919372
"_1.000",0.849387947974444,0.124919730871836,0.440520025011101,0.00195864207490619
"_0.500",0.850294888216778,0.124724545893053,0.438833257996884,0.00194033496564596
"_0.250",0.876268247488276,0.124724126420106,0.416822643025149,0.00172711114778979
"_0.100",1.03038422223309,0.124723840498379,0.328629302671672,0.00104904495230759
"_0.050",1.22058269887115,0.124723463286332,0.234144309662412,0.00067338458805775
"_0.025",1.38752824956749,0.124723476282844,0.138051800574739,0.000350667250737459
"_0.010",1.54005901332581,0.124723722107818,0.0599432725131946,0.000127629583968708
"_0.005",1.61898624411233,0.124724474224087,0.0297605541532203,0.0000686690954126606
"_0.003",1.64476995802786,0.12472625947356,0.0203719954612623,0.0000318232317943428
"_0.001",1.67459917710885,0.124731850355339,0.00871691526778709,0.0000157524664000627
"_1.000",0.438808098775357,0.0171372879058456,0.917621024406791,0.0159710982016186
"_0.500",0.676303741095148,0.00610399231006114,0.898502575189165,0.00554129105271047
"_0.250",0.704433490900244,0.00586554011547104,0.848002719418973,0.00491789917246051
"_0.100",0.741906482415379,0.00423407302822287,0.754049252847539,0.00303673492371664
"_0.050",0.76771969135812,0.00265597653789764,0.716455227335864,0.00179534503895214
"_0.025",0.789581841794579,0.00147483789507883,0.701215484211917,0.000984308219017932
"_0.010",0.809967065324319,0.000645976070679617,0.702637889688249,0.000416687300030706
"_0.005",0.819241629575169,0.000328343551830401,0.740134028294862,0.000208556498058716
"_0.003",0.82094868764595,0.000172464894316907,0.778674351585014,0.000109073192601453
"_0.001",0.817731497106784,0.0000794303972453157,0.828571428571429,0.0000452095943891532
"_1.000",0.434068223690332,0.024568842676503,0.8086110081806,0.0153661080037456
"_0.500",0.656660077315209,0.00898573716791388,0.804140421720152,0.00549064920697399
"_0.250",0.677839667870333,0.00862027148120841,0.764732944288593,0.00486219465141644
"_0.100",0.721351138836892,0.00620813077613908,0.648806555521113,0.00304022800765932
"_0.050",0.759341685952234,0.00393061278815976,0.589928650117887,0.00177860930714997
"_0.025",0.793366449225095,0.00222367467396458,0.550705336020328,0.000960771165690006
"_0.010",0.823715088640468,0.000937266203937273,0.530487561394402,0.000407336531342302
"_0.005",0.835186666655355,0.000491854117143893,0.555317102049878,0.00021336115389741
"_0.003",0.838281076182361,0.000249471541052335,0.557897862232779,0.000106417251415633
"_0.001",0.836929320292844,0.00011550987222072,0.599373477201531,0.0000431743435254718
"_1.000",0.320084170666964,0.0396880788258416,0.720077576457158,0.0129681387861128
"_0.500",0.521342242411677,0.0162532505399107,0.712579453503115,0.00522357799912697
"_0.250",0.558205649602822,0.015638750638968,0.676290580095796,0.00462847323391221
"_0.100",0.654403590335379,0.011402419671871,0.606274314638247,0.00287130908972875
"_0.050",0.734144012341936,0.0072902749947788,0.570558956077218,0.00170811303363411
"_0.025",0.795142972962782,0.00414060558971139,0.551007252215955,0.000909559066002322
"_0.010",0.843460542274318,0.00176830479742728,0.542460224155498,0.000388361783067336
"_0.005",0.860869710957343,0.000907551569529431,0.546556299259377,0.000196509597167983
"_0.003",0.867744742323292,0.00044895755769988,0.556451612903226,0.000101978149584504
"_0.001",0.869546660966887,0.000203062207545777,0.558538404175988,0.0000421128558260167
"_1.000",0.489942756660728,0.0721324678146114,0.537805472536952,0.00883262488819451
"_0.500",0.593653413361284,0.0377625019606436,0.535966545090877,0.00457365334895289
"_0.250",0.631985447932081,0.0363566040474956,0.512772495203489,0.0040487331547936
"_0.100",0.750496253174615,0.0262380625662496,0.466109559447988,0.00251789378740802
"_0.050",0.852544630859041,0.0167752108257716,0.441434022148255,0.00150373654703979
"_0.025",0.933978421894551,0.00970126576691613,0.423441598763164,0.000813907451202212
"_0.010",0.997962714540382,0.0042864881346586,0.411048904421401,0.000344351366517833
"_0.005",1.02325937364509,0.00220734160050775,0.40939150401837,0.000177826848381124
"_0.003",1.03678884567389,0.00110043099243601,0.423357995551723,0.0000885249505553767
"_0.001",1.05161064230959,0.000471244119861209,0.443771530170019,0.0000341315647236198
"_1.000",0.692763972134901,0.103907351835078,0.462321247511002,0.0047125906875256
"_0.500",0.714990394787655,0.0760818374896926,0.46101945430288,0.00342805365739565
"_0.250",0.756247211990148,0.0733985573058515,0.440927796458487,0.00303091748161109
"_0.100",0.909196636663756,0.0522389912118199,0.407808285547641,0.00187632440215024
"_0.050",1.05119083716863,0.0332150117910972,0.390929992436634,0.00111291030424657
"_0.025",1.17269198131081,0.0188153787790425,0.378190284570186,0.000612579729920765
"_0.010",1.27088157817358,0.0085670242597803,0.36664421457782,0.000258687784550461
