"rank","name","step","value"
0,"cpu: Steal %",6,0
0,"cpu: Guest %",6,0
0,"meminfo:MemTotal (MB)",6,630978
0,"meminfo:MemFree (MB)",6,556466
0,"meminfo:MemAvailable (MB)",6,588240
0,"program size (pages)",7,79771
0,"resident set size (pages)",7,2658
0,"resident shared pages",7,814
0,"Page faults (minor)",7,4746
0,"Page faults (major)",7,24
0,"Pages swapped (not maintained)",7,0
0,"GPU: Device 0 Utilization %",7,0
0,"GPU: Device 0 Memory Utilization %",7,0
0,"GPU: Device 0 Memory Free (GB)",7,16.9428
0,"GPU: Device 0 Memory Used (GB)",7,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",7,877
0,"cpu: User %",7,3.45966
0,"cpu: Nice %",7,0
0,"cpu: System %",7,0.00569022
0,"cpu: Idle %",7,96.5347
0,"cpu: I/O Wait %",7,0
0,"cpu: IRQ %",7,0
0,"cpu: soft IRQ %",7,0
0,"cpu: Steal %",7,0
0,"cpu: Guest %",7,0
0,"meminfo:MemTotal (MB)",7,630978
0,"meminfo:MemFree (MB)",7,556466
0,"meminfo:MemAvailable (MB)",7,588240
0,"program size (pages)",8,79771
0,"resident set size (pages)",8,2658
0,"resident shared pages",8,814
0,"Page faults (minor)",8,4746
0,"Page faults (major)",8,24
0,"Pages swapped (not maintained)",8,0
0,"GPU: Device 0 Utilization %",8,0
0,"GPU: Device 0 Memory Utilization %",8,0
0,"GPU: Device 0 Memory Free (GB)",8,16.9428
0,"GPU: Device 0 Memory Used (GB)",8,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",8,877
0,"cpu: User %",8,3.43299
0,"cpu: Nice %",8,0
0,"cpu: System %",8,0.00568376
0,"cpu: Idle %",8,96.5613
0,"cpu: I/O Wait %",8,0
0,"cpu: IRQ %",8,0
0,"cpu: soft IRQ %",8,0
0,"cpu: Steal %",8,0
0,"cpu: Guest %",8,0
0,"meminfo:MemTotal (MB)",8,630978
0,"meminfo:MemFree (MB)",8,556466
0,"meminfo:MemAvailable (MB)",8,588240
0,"program size (pages)",9,79771
0,"resident set size (pages)",9,2658
0,"resident shared pages",9,814
0,"Page faults (minor)",9,4746
0,"Page faults (major)",9,24
0,"Pages swapped (not maintained)",9,0
0,"GPU: Device 0 Utilization %",9,0
0,"GPU: Device 0 Memory Utilization %",9,0
0,"GPU: Device 0 Memory Free (GB)",9,16.9428
0,"GPU: Device 0 Memory Used (GB)",9,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",9,877
0,"cpu: User %",9,3.42653
0,"cpu: Nice %",9,0
0,"cpu: System %",9,0.0170474
0,"cpu: Idle %",9,96.5564
0,"cpu: I/O Wait %",9,0
0,"cpu: IRQ %",9,0
0,"cpu: soft IRQ %",9,0
0,"cpu: Steal %",9,0
0,"cpu: Guest %",9,0
0,"meminfo:MemTotal (MB)",9,630978
0,"meminfo:MemFree (MB)",9,556466
0,"meminfo:MemAvailable (MB)",9,588240
0,"program size (pages)",10,79771
0,"resident set size (pages)",10,2658
0,"resident shared pages",10,814
0,"Page faults (minor)",10,4746
0,"Page faults (major)",10,24
0,"Pages swapped (not maintained)",10,0
0,"GPU: Device 0 Utilization %",10,0
0,"GPU: Device 0 Memory Utilization %",10,0
0,"GPU: Device 0 Memory Free (GB)",10,16.9428
0,"GPU: Device 0 Memory Used (GB)",10,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",10,877
0,"cpu: User %",10,3.41555
0,"cpu: Nice %",10,0
0,"cpu: System %",10,0.0113662
0,"cpu: Idle %",10,96.5731
0,"cpu: I/O Wait %",10,0
0,"cpu: IRQ %",10,0
0,"cpu: soft IRQ %",10,0
0,"cpu: Steal %",10,0
0,"cpu: Guest %",10,0
0,"meminfo:MemTotal (MB)",10,630978
0,"meminfo:MemFree (MB)",10,556466
0,"meminfo:MemAvailable (MB)",10,588240
0,"program size (pages)",11,79771
0,"resident set size (pages)",11,2658
0,"resident shared pages",11,814
0,"Page faults (minor)",11,4746
0,"Page faults (major)",11,24
0,"Pages swapped (not maintained)",11,0
0,"GPU: Device 0 Utilization %",11,0
0,"GPU: Device 0 Memory Utilization %",11,0
0,"GPU: Device 0 Memory Free (GB)",11,16.9428
0,"GPU: Device 0 Memory Used (GB)",11,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",11,877
0,"cpu: User %",11,3.41322
0,"cpu: Nice %",11,0
0,"cpu: System %",11,0.00567924
0,"cpu: Idle %",11,96.5811
0,"cpu: I/O Wait %",11,0
0,"cpu: IRQ %",11,0
0,"cpu: soft IRQ %",11,0
